name,count,address,latitude,longitude,type
지구상회,310,제주특별자치도 제주시 애월읍 애월해안로 715,33.4840001976835,126.377379932118,1
더비치크랩,191,제주특별자치도 서귀포시 안덕면 사계남로 168,33.228199671299,126.307778963187,1
제주프리또,45,제주특별자치도 제주시 한림읍 귀덕5길 7,33.4404009009907,126.282324640151,1
템포 다이닝 라운지,35,제주 서귀포시 안덕면 신화역사로304번길 98,33.3052583,126.3149549,1
사과당 제주점,22,제주 제주시 오현길 88,33.5103409,126.5261349,1
맘앤타르트,19,제주특별자치도 제주시 애월읍 중산간서로 6008,33.4507129866862,126.373795045802,1
해저,16,제주특별자치도 제주시 한림읍 한림해안로 582,33.4403472318629,126.276508114726,1
제주세원이네,11,제주특별자치도 제주시 삼성로 69,33.5081409739923,126.532571581521,1
이츠버거,10,제주 제주시 서광로29길 8,33.5034082,126.5268105,1
순천미향제주산방산본점,9,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-73,33.2357024,126.3124913,1
제주공항그때그집,8,제주특별자치도 제주시 서해안로 352-1,33.5103725597917,126.482821804665,1
제주정지,7,제주특별자치도 제주시 서해안로 480,33.5189140047842,126.490497783971,1
제주한판횟집 제주산방산본점,7,제주 서귀포시 안덕면 사계로114번길 87,33.245981,126.3060353,1
돗담,5,제주 제주시 연동13길 38,33.4877302,126.4945004,1
까망돼지 서귀포점,5,제주 서귀포시 일주동로 8524,33.2551463,126.5775949,1
제주 연북로해물탕 본점,5,제주 제주시 연북로 221,33.4914841,126.5463042,1
우진해장국,4,제주특별자치도 제주시 서사로 11,33.5115264391519,126.520072743116,1
돼지촌 제주본점,4,제주 제주시 원노형남1길 28,33.4839253,126.485429,1
오는정김밥,4,제주특별자치도 서귀포시 동문동로 2,33.2496131520541,126.567650682292,1
탄탄흑돈양꼬치,3,제주특별자치도 제주시 한림읍 한림로 687,33.416097365937,126.26497923234,1
빨강코끼리,3,제주 제주시 다랑곶6길 26-1,33.48958,126.4804189,1
김정자김밥,3,제주특별자치도 제주시 신산로 53,33.5088288688952,126.53356087106,1
흑돼지박스 성산점,3,제주 서귀포시 성산읍 신양로 100,33.4359628,126.9163073,1
온리원앤토픽댄스스튜디오,2,제주 제주시 신성로10길 7,33.4949621,126.5301014,1
분식후경,2,제주특별자치도 서귀포시 성산읍 온평포구로62번길 22-1,33.4004788047286,126.902935271003,1
도주제,2,제주특별자치도 제주시 관덕로3길 9-1,33.5131622,126.5211554,1
참맛나김밥,2,제주특별자치도 제주시 신대로16길,33.4869839,126.4922571,1
조천한식뷔페,2,제주특별자치도 제주시 조천읍 조와로 17-8,33.5332758131528,126.635786573551,1
중문흑돼지,2,제주특별자치도 서귀포시 천제연로,33.25152034,126.4327461,1
은갈치김밥,2,제주 제주시 용마서길 30,33.5155165,126.5014999,1
돌카롱,2,제주특별자치도 서귀포시 중문로41번길 8,33.2557059910987,126.424365595524,1
은희네해장국,2,제주특별자치도 서귀포시 516로 84,33.2604735043732,126.582240515606,1
다정이네김밥,2,제주특별자치도 서귀포시 동문로,33.24937877,126.5668712,1
이순신김밥,2,제주특별자치도 제주시 애월읍 애월해안로 482-1,33.4781095549845,126.355908730434,1
보말칼국수,2,제주특별자치도 제주시 선덕로5길,33.48792572,126.5000308,1
자매국수,2,제주특별자치도 제주시 탑동로11길 6,33.5168187527759,126.517065756143,1
버거요,2,제주특별자치도 제주시 한림읍 귀덕11길,33.44635701,126.296478,1
바로밥김밥,2,제주 제주시 이도공원길 6,33.4978105,126.5445861,1
제주또시랑,2,제주특별자치도 제주시 연북로 724,33.4953629673701,126.553038910231,1
제제김밥,2,제주특별자치도 제주시 원노형로 43-1,33.4846791287352,126.485131339266,1
남순이네국수,2,제주특별자치도 제주시 서해안로 540,33.5199333584241,126.496475447157,1
감수촌,2,제주특별자치도 제주시 지석13길 7,33.5217627028249,126.585171442797,1
신해바라기분식 한라대점,2,제주 제주시 정원로 47,33.4793454,126.4781887,1
꼬까삐,2,제주특별자치도 제주시 도남로7길 46,33.4962213986783,126.527187864712,1
금오름,2,제주특별자치도 서귀포시 이어도로,33.23778538,126.4752416,1
오설록,2,제주특별자치도 서귀포시 안덕면 신화역사로,33.30590824,126.2895298,1
엉클통김밥,2,제주특별자치도 제주시 1100로 3283,33.4793919165653,126.481855926113,1
한라네김밥,2,제주특별자치도 서귀포시 일주동로 8697,33.2526642520564,126.55938102688,1
남춘식당,2,제주 제주시 청귤로 12,33.4991694,126.5399511,1
가시어멍김밥,2,제주특별자치도 제주시 월랑로 36,33.4888641611496,126.476450619665,1
어머니김밥,2,제주특별자치도 제주시 번영로 518,33.4891556566297,126.596548102356,1
아궁이연탄집,2,제주특별자치도 제주시 도남로 12-1,33.4988554177321,126.525034073541,1
다가미,2,제주특별자치도 제주시 선사로8길 22,33.5259602649205,126.587998764014,1
애월테라피,1,제주특별자치도 제주시 애월읍 애월해안로 454-5,33.4765726362278,126.354227237736,1
장수상회,1,제주특별자치도 제주시 동문로4길,33.51207521,126.5282969,1
양가형제,1,제주특별자치도 제주시 한경면 청수동8길 3,33.3073444418177,126.254080398022,1
더스푼,1,제주 제주시 구남동1길 45,33.4931195,126.5409932,1
어가,1,제주특별자치도 제주시 1100로 3213-8,33.474382645638,126.483610794684,1
애월찜,1,제주특별자치도 제주시 애월읍 애월해안로 454-5,33.4765726362278,126.354227237736,1
제갈양,1,제주특별자치도 제주시 한림읍 한림로 155,33.3860170852928,126.224482062159,1
제노테카,1,제주 제주시 국기로 35,33.4783653,126.4907262,1
애월 브런치오,1,제주 제주시 애월읍 애월해안로 454-3,33.4774199,126.3632555,1
장인의집,1,제주특별자치도 제주시 애월읍 애월로19길,33.46573071,126.3268952,1
어진이네,1,제주특별자치도 제주시 신대로10길,33.4907594,126.4935689,1
어니스트밀크,1,제주특별자치도 서귀포시 성산읍 성산등용로17번길 55,33.4602911324747,126.929505294462,1
일품순두부,1,제주특별자치도 제주시 탑동로 33,33.5174902439286,126.521198217778,1
우동카덴,1,제주특별자치도 제주시 조천읍 교래3길 23,33.4358254744633,126.679349340657,1
웃보,1,제주특별자치도 서귀포시 대정읍 중산간서로 2602,33.2658122315121,126.259393317705,1
옹포리,1,제주특별자치도 제주시 한림읍 한림로,33.40372148,126.2522945,1
올레시장,1,제주특별자치도 서귀포시 중앙로54번길 35,33.2498875481102,126.56330032525,1
올래국수,1,제주특별자치도 제주시 귀아랑길 24,33.4914982654103,126.49724689049,1
웨스트그라운드,1,제주 제주시 한경면 신한로 183-16,33.347143,126.1897426,1
오롯,1,제주특별자치도 제주시 조천읍 신북로 95,33.5357563100718,126.623668271502,1
육도담,1,제주특별자치도 제주시 도남로 59,33.4950288122512,126.527735332531,1
이춘옥원조고등어쌈밥,1,제주특별자치도 제주시 애월읍 일주서로,33.48897976,126.4187548,1
우무,1,제주특별자치도 제주시 한림읍 한림로 542-1,33.4058812004896,126.256497117338,1
우드나잇,1,제주특별자치도 제주시 애월읍 애월로7길 12,33.4653404242689,126.318706148357,1
자양식당,1,제주 제주시 관덕로6길 17,33.5112114,126.5219921,1
토오소,1,제주 제주시 정든로 20-4,33.4982923,126.543242,1
심봉사눈뜬톳해물짜장짬뽕,1,제주 서귀포시 대정읍 마라로 43,33.1197799,126.2671444,1
평대리멍석,1,제주특별자치도 제주시 구좌읍 해맞이해안로 1308,33.5306758938106,126.850436797339,1
평대성게국수,1,제주특별자치도 제주시 구좌읍 해맞이해안로 1172,33.5342200914104,126.839892983161,1
표선수산마트,1,제주특별자치도 서귀포시 표선면 표선중앙로110번길 3-4,33.3253672248955,126.836052276819,1
한라축산정육식당,1,제주특별자치도 제주시 한림읍 한림상로 84,33.4080545315726,126.262967803472,1
한림해촌,1,제주 제주시 한림읍 한림로 329-6,33.4162452,126.265001,1
해모둠,1,제주특별자치도 제주시 청귤로3길 53,33.5020911509499,126.542477467083,1
해월정,1,제주특별자치도 제주시 구좌읍 해맞이해안로 2340,33.4922434988046,126.909688729508,1
형제도식당,1,제주특별자치도 서귀포시 일주서로 915,33.2577687795852,126.412878327291,1
호돌이식당,1,제주특별자치도 제주시 한림읍 비양도길 284,33.4064044727492,126.230420049763,1
홍가시나무길,1,제주 서귀포시 1100로 506,33.2856853,126.4593873,1
화성식당,1,제주특별자치도 제주시 일주동로 383,33.5213673911702,126.586082058633,1
활어천국,1,제주특별자치도 제주시 서광로20길 31,33.4969526127333,126.521967208185,1
번네식당,1,제주 서귀포시 안덕면 산방로 16,33.2457306,126.3297492,1
신해바라기,1,제주 제주시 관덕로13길 13,33.5144431,126.5260086,1
제주맛집칼국수,1,제주특별자치도 제주시 조천읍 비자림로 685,33.436862152919,126.679333635123,1
제주바솔트,1,제주특별자치도 제주시 가령골3길 6,33.5040731489163,126.539291032503,1
제주앞바다횟집,1,제주특별자치도 제주시 동한두기길 29,33.5168716559257,126.515461114613,1
알동네집화순점,1,제주특별자치도 서귀포시 안덕면 화순로 6,33.2514368,126.3407678,1
제주해물밥,1,제주특별자치도 제주시 월대3길,33.49447603,126.4341175,1
희야네식당,1,제주 서귀포시 남원읍 태위로 685-1,33.2794771,126.7198364,1
젠하이드어웨이 제주점,1,제주 서귀포시 안덕면 사계남로 186-8,33.2292312,126.3086165,1
중문보말칼국수,1,제주특별자치도 서귀포시 천제연로 190 ,33.2515771,126.4250027,1
중문수원,1,제주특별자치도 서귀포시 천제연로 83,33.2553039662317,126.414725695736,1
중문정,1,제주특별자치도 서귀포시 상예로 224,33.264763479243,126.393798981425,1
춘심이네,1,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16,33.2644616102372,126.370601957277,1
춘월맛집,1,제주 제주시 도두항서길 5,33.5063001,126.4652002,1
친밀 제주,1,제주 제주시 조천읍 남조로 1781,33.4834535,126.6533598,1
제주애월리에,1,제주 제주시 애월읍 엄수로 8-11,33.4681478,126.385417,1
소라횟집,1,제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3,33.5324588928259,126.846322179377,1
논짓물,1,제주특별자치도 제주시 신대로12길 41,33.4886334201129,126.492228509948,1
다도,1,제주특별자치도 서귀포시 이어도로 866-29,33.2337075131349,126.506982722026,1
당케올레국수,1,제주 서귀포시 표선면 민속해안로 584,33.3252935,126.8433372,1
대포주상절리,1,제주 서귀포시 이어도로 36-24,33.2373527,126.5123761,1
덕성원,1,제주특별자치도 제주시 신설로11길 8-6,33.4913796476311,126.544712176432,1
신촌덕인당,1,제주 제주시 조천읍 신북로 36,33.5322237,126.6185705,1
도나망,1,제주특별자치도 제주시 조천읍 일주동로,33.53683892,126.6699344,1
도두해녀의집,1,제주특별자치도 제주시 도두항길 16,33.5061799721712,126.466687491052,1
돈사돈,1,제주특별자치도 제주시 우평로 19,33.4788573479647,126.464081358526,1
돈사촌,1,제주특별자치도 제주시 서사로 7,33.511939277203,126.519915035527,1
돌미롱,1,제주특별자치도 제주시 인다15길 43,33.4714221966852,126.551167074912,1
동귀리갈칫집,1,제주특별자치도 제주시 월랑로 83,33.4918344825035,126.472395814374,1
땅꼬,1,제주 제주시 오일장서길 26,33.4966155,126.4745305,1
또시랑,1,제주특별자치도 제주시 기자길,33.48034987,126.5474895,1
뚱딴지 애월본점,1,제주 제주시 애월읍 부룡수길 17,33.474376,126.356201,1
라라랜드,1,제주특별자치도 서귀포시 중문상로 62,33.2535433403108,126.426593488361,1
라라블루,1,제주 제주시 원노형로 36,33.4839415,126.4847884,1
노형농원,1,제주특별자치도 제주시 노형8길 14,33.4838005,126.4789106,1
광양해장국,1,제주특별자치도 제주시 광양13길 25,33.49991975777,126.532667284602,1
가람돌솥밥,1,제주특별자치도 서귀포시 중문관광로 332,33.2496544982468,126.43135231828,1
가시림,1,제주 서귀포시 표선면 녹산로5번길 171,33.3592855,126.7632916,1
가시아방국수,1,제주특별자치도 서귀포시 성산읍 섭지코지로 10,33.4386253408193,126.918135235298,1
고사리식당,1,제주특별자치도 서귀포시 중문상로 41,33.2520139389062,126.425429810839,1
고이정,1,제주특별자치도 제주시 애월읍 애월로 6,33.4592820828069,126.311412368208,1
고집돌우럭,1,제주특별자치도 제주시 조천읍 신북로 491-9,33.5438072908875,126.663152149861,1
공천포식당,1,제주특별자치도 서귀포시 남원읍 공천포로 89,33.2663770252861,126.642645203771,1
곽지국시,1,제주 제주시 애월읍 일주서로 6027,33.4672246,126.3543535,1
네꼬야티하우스,1,제주특별자치도 제주시 애월읍 하귀9길 15,33.4856587326139,126.41567342304,1
교래흑돼지 성산일출봉점,1,제주 서귀포시 성산읍 한도로 23,33.4645299,126.9376073,1
제주김만복 서귀포점,1,제주 서귀포시 월드컵로 117,33.2495672,126.5078647,1
난드르흑돼지,1,제주 서귀포시 성산읍 환해장성로 517,33.4040711,126.9035185,1
꽃담,1,제주특별자치도 제주시 선덕로5길,33.48816636,126.4998007,1
난산리식당,1,제주특별자치도 서귀포시 성산읍 난산로41번길,33.39920011,126.8679834,1
꼬뜨도르호텔,1,제주 제주시 구좌읍 일주동로 1724,33.5379475,126.8282582,1
뽕끄레 주악 동문시장 본점,1,제주 제주시 동문로4길 7,33.5121821,126.5279522,1
산노루,1,제주특별자치도 제주시 한경면 낙원로 32,33.3300253536547,126.213364935344,1
산도롱맨도롱,1,제주특별자치도 서귀포시 성산읍 일주동로,33.38098509,126.876699,1
산지해장국 노형직영점,1,제주 제주시 노형9길 16-1,33.4833831,126.4772408,1
상춘재,1,제주특별자치도 제주시 조천읍 선진길 26,33.4586883579592,126.704818297092,1
서광춘희,1,제주특별자치도 서귀포시 안덕면 화순서동로 367,33.2833111606128,126.331683659807,1
서울앵무새 제주점,1,제주 서귀포시 색달중앙로 162,33.2567779,126.4134291,1
성산장인의집,1,제주특별자치도 서귀포시 성산읍 일주동로 3968,33.4718127983155,126.90154234052,1
부온 텐동,1,제주 제주시 구남동2길 26,33.488034,126.5341623,1
소금바치 순이네,1,제주 제주시 구좌읍 해맞이해안로 2196,33.542084,126.8313814,1
소담한봉봉,1,제주특별자치도 제주시 신설로9길 20,33.4941619760705,126.5459461353,1
송도옥,1,제주특별자치도 제주시 흥운길 101,33.5152809206721,126.513626263428,1
순천미향 제주산방산본점,1,제주 서귀포시 안덕면 사계남로216번길 24-73,33.2357024,126.3124913,1
스모키버거,1,제주특별자치도 제주시 동문로 100,33.5137867551232,126.537308853062,1
스시무사,1,제주특별자치도 제주시 한림읍 한림해안로 592-8,33.4112312,126.2572453,1
시민상회,1,제주특별자치도 제주시 오현길 38,33.5084370973818,126.526378244565,1
마노르블랑,1,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,33.2548113391262,126.295043874315,1
명진전복,1,제주특별자치도 제주시 구좌읍 해맞이해안로 1282,33.5323891691832,126.849488260866,1
명호마농갈비 중문점,1,제주 서귀포시 중문관광로 289,33.2459495,126.4290192,1
만복반미,1,제주특별자치도 제주시 수덕9길 82-4,33.4833603746127,126.470252914416,1
만선식당,1,제주 서귀포시 대정읍 하모항구로 44,33.2178539,126.2499284,1
먹돌,1,제주특별자치도 제주시 월성로 26,33.5019764173049,126.504857130279,1
명랑스낵,1,제주특별자치도 제주시 한림읍 한림로 585,33.4162452,126.265001,1
봉자네숙성뼈갈비,1,제주특별자치도 제주시 1100로 3228,33.4728669,126.4855917,1
몽상드애월,1,제주특별자치도 제주시 애월읍 애월북서길,33.46333596,126.309204,1
미영이네,1,제주특별자치도 서귀포시 대정읍 하모항구로 42,33.2177335641169,126.249866795729,1
미풍해장국,1,제주특별자치도 제주시 번영로 420,33.493292087346,126.587657699108,1
바다속고등어쌈밥 제주애월본점,1,제주 제주시 애월읍 일주서로 7089,33.4842428,126.4067447,1
바릇수산,1,제주특별자치도 제주시 원노형로,33.48305961,126.4846646,1
별난닭곰탕,1,제주특별자치도 제주시 한림읍 강구로,33.4121841,126.2688088,1
보말이네,1,제주특별자치도 제주시 애월읍 유수암평화5길 51,33.4235114703677,126.404213275589,1
복음이네김밥만두,1,제주 서귀포시 김정문화로 64,33.2513998,126.5090464,1
봉기네깡통구이,1,제주특별자치도 서귀포시 성산읍 고성오조로 38,33.4468590905685,126.915247390298,1
히포파운드,1,제주특별자치도 제주시 오광로 120,33.4855661441485,126.460541458298,1
카페더라이트,52,제주특별자치도 서귀포시 성산읍 한도로 267,33.4661713753033,126.935973729891,0
새빌,24,제주특별자치도 서귀포시 대정읍 노을해안로 216-30,33.2462728003026,126.207174417376,0
브라보비치,11,제주특별자치도 서귀포시 성산읍 해맞이해안로 2614,33.4775976523995,126.909301990313,0
웨이뷰 협재점,9,제주 제주시 한림읍 옹포7길 25-3,33.4069704,126.254288,0
마음에온,8,제주 제주시 칠성로길 29-1,33.5144683,126.5262182,0
쉬어갓,5,제주특별자치도 서귀포시 성산읍 일주동로 5023,33.3860851013057,126.882329800264,0
위이,5,제주특별자치도 서귀포시 안덕면 신화역사로682번길 12,33.3127519347285,126.359105799759,0
하라케케,4,제주특별자치도 서귀포시 속골로 29-10,33.2428543200944,126.527782166788,0
커피템플,2,제주특별자치도 제주시 영평길 269,33.4781538312649,126.57030222334,0
카페마음마루,2,제주 제주시 아란14길 3,33.4711333,126.5441525,0
어린왕자감귤밭,2,제주특별자치도 서귀포시 대정읍 추사로36번길 45-1,33.2532868801428,126.281885810743,0
한라산,2,제주특별자치도 서귀포시 표선면 중산간동로 4669,33.3890832377531,126.797005141356,0
파이굽는 돌담집,1,제주 제주시 아란9길 48,33.4717481,126.5406229,0
르브아 커피,1,제주 서귀포시 남원읍 태위로266번길 15,33.2739606,126.676409,0
신촌구옥,1,제주특별자치도 제주시 조천읍 신촌3길 13,33.5342390713234,126.618578611865,0
숨,1,제주특별자치도 제주시 대동길 18,33.4929905983585,126.463089375824,0
서귀샌드,1,제주특별자치도 서귀포시 태평로 347,33.2468138986737,126.557921148334,0
착한놀부 신화월드 본점,1,제주 제주시 한경면 중산간서로 3690,33.3100579,126.2383704,0
아바,1,제주특별자치도 제주시 정존15길 5,33.4858616163857,126.477891166862,0
풀하우스,1,제주특별자치도 제주시 중앙로 60,33.5131501789142,126.524683904687,0
별다방,1,제주 제주시 산지로 3-1,33.5152455,126.5293636,0
플라워,1,제주특별자치도 제주시 애월읍 애월해안로 454-5,33.4765726362278,126.354227237736,0
플로라,1,제주특별자치도 제주시 중앙로 249,33.5174208,126.5247977,0
해맞이,1,제주특별자치도 제주시 공설로 41,33.4993163,126.5164068,0
해녀횟집,1,제주특별자치도 제주시 한경면 노을해안로,33.30794881,126.16405,0
챔피온,1,제주특별자치도 제주시 방일4길 4,33.4775317663594,126.468429620974,0
사랑채,1,제주특별자치도 제주시 원남6길 11,33.4882861202363,126.5293450668,0
델문도 김녕점,1,제주 제주시 구좌읍 해맞이해안로 140,33.542084,126.8313814,0
카페델마,1,제주 제주시 연대마을길 16-8,33.4941899,126.4260404,0
보말카페,1,제주 서귀포시 대정읍 도원로 7,33.27678815,126.17126336713818,0
베네딕트,1,제주특별자치도 서귀포시 대정읍 구억중앙로 11-21,33.2731630899351,126.282956214982,0
공간,1,제주특별자치도 제주시 애월읍 하소로 506,33.4377038083484,126.393178659755,0
레이어드,1,제주특별자치도 서귀포시 일주서로 426,33.253561851469,126.463399736196,0
